Sample	posterior	ESS(posterior)	likelihood	prior
40000	-3989.152253796449	3.7	-4262.937229877201	273.7849760807526
41000	-3955.0765954903027	3.7	-4245.887111606341	290.8105161160385
42000	-3952.0536651233188	3.8	-4248.644598047667	296.5909329243484
43000	-3963.974467030035	3.8	-4249.697333194132	285.7228661640967
44000	-3966.837899149944	3.8	-4249.262470637055	282.42457148711117
45000	-3954.0512572726475	3.8	-4246.647938031197	292.596680758549
46000	-3963.693842798053	3.9	-4251.265810741806	287.57196794375255
47000	-3963.099507282167	3.9	-4253.0712538610105	289.9717465788433
48000	-3963.0778944050667	3.9	-4249.746733561655	286.66883915658815
49000	-3966.2552758610577	3.9	-4245.536159297988	279.28088343693014
50000	-3975.012623587535	4.0	-4245.846709140813	270.83408555327804
51000	-3971.127210309091	4.0	-4249.944549998914	278.8173396898232
52000	-3977.7094818522073	4.0	-4239.270486057315	261.5610042051076
53000	-3979.8778008473337	4.0	-4244.052927543448	264.1751266961145
54000	-3983.597727900903	4.0	-4244.450534991812	260.8528070909087
55000	-3975.86234283038	4.1	-4233.168768399073	257.30642556869327
56000	-3962.431537701696	4.1	-4238.113563986381	275.6820262846853
57000	-3955.234388042587	4.1	-4239.2325976508955	283.9982096083088
58000	-3978.4432932484333	4.2	-4250.045276233593	271.60198298515934
59000	-3973.780525609489	4.1	-4249.008750070489	275.2282244610007
60000	-3971.5325215314665	4.1	-4259.346492806288	287.81397127482114
61000	-3970.041418810868	4.2	-4248.8391004268215	278.79768161595365
62000	-3994.0987877986377	4.2	-4254.25524081024	260.1564530116023
63000	-3967.203936828227	4.2	-4244.211510662377	277.00757383414964
64000	-3965.757432315064	4.3	-4244.658388999744	278.9009566846796
65000	-3964.8840345092494	4.3	-4235.88591315836	271.00187864911106
66000	-3979.1233895300447	4.4	-4239.335066810947	260.21167728090217
67000	-3963.1553279958894	4.4	-4239.674242340542	276.51891434465267
68000	-3966.5924524250386	4.4	-4236.996740728267	270.40428830322793
69000	-3953.94369603477	4.3	-4229.534341264591	275.5906452298208
70000	-3954.4771629476986	4.4	-4225.125581505166	270.6484185574676
71000	-3952.5557044563607	4.4	-4224.615112439036	272.0594079826757
72000	-3968.0163616118957	4.5	-4234.487610540159	266.4712489282635
73000	-3976.676358676351	4.5	-4244.621755055924	267.9453963795731
74000	-3977.2409523851234	4.6	-4243.181326075156	265.9403736900325
75000	-3958.160850867783	4.6	-4244.900915311225	286.74006444344155
76000	-3956.585616942338	4.7	-4235.56543771021	278.97982076787173
77000	-3929.920516063882	4.7	-4234.270997401074	304.35048133719215
78000	-3947.305939332314	4.8	-4233.873686460645	286.56774712833123
79000	-3948.181341262703	4.6	-4230.313984929991	282.1326436672886
80000	-3958.630957055745	4.7	-4234.800085301134	276.1691282453883
81000	-3959.8653765411304	4.7	-4241.92474490753	282.0593683663995
82000	-3951.233761498068	4.8	-4243.192267692872	291.95850619480376
83000	-3955.4209207226877	4.8	-4249.298732850599	293.87781212791106
84000	-3951.6567766093467	4.9	-4246.664057598824	295.0072809894775
85000	-3956.5704193523998	4.9	-4243.490181790613	286.9197624382132
86000	-3943.6041635318556	5.0	-4236.177318820186	292.5731552883304
87000	-3949.9670354928994	5.0	-4235.656104048511	285.68906855561187
88000	-3979.332549093107	5.1	-4253.186906814576	273.85435772146894
89000	-3967.3977009764126	4.9	-4251.163163365932	283.765462389519
90000	-3952.6551475927035	5.0	-4234.236675071438	281.58152747873464
91000	-3943.797531563082	5.0	-4240.415021210604	296.61748964752246
92000	-3969.0367416273975	5.0	-4246.444752625883	277.4080109984851
93000	-3957.7763573590996	5.1	-4239.493874207302	281.717516848202
94000	-3954.3963808573576	5.1	-4239.16424362687	284.7678627695126
95000	-3967.9443896048106	5.2	-4243.263576482546	275.31918687773566
96000	-3953.81825488462	5.2	-4240.189989281562	286.3717343969419
